no,part_no,Sparepart,Stok,Jumlah,Harga,Kategori,Klasifikasi
684.0,38480-65J00-000,"NOZZLE,WASHER",Banyak,Tinggi,Murah,Fast,laris
685.0,38491-66J00-000,"HOSE,WASHER (L:2000)",Banyak,Tinggi,Murah,Fast,laris
686.0,38640-65J00-000,"SENSOR ASSY,FR HEIGHT",Sedang,Rendah,Mahal,Critical,tidak laris
687.0,41211-65J00-000,"SEAT,COIL SPRING RUBBER UPPER",Banyak,Tinggi,Murah,Critical,laris
688.0,41230-65J00-000,"SEAT,COIL SPRING UPPER",Sedang,Tinggi,Murah,Critical,laris
689.0,41341-65J00-000,"SEAT,COIL SPRING RUBBER",Sedang,Tinggi,Murah,Critical,laris
690.0,42111-65J00-000,"STOPPER,BUMP",Sedang,Rendah,Murah,Slow,laris
691.0,43511-65J00-000,"DRUM,REAR BRAKE",Dikit,Rendah,Mahal,Critical,laris
692.0,45111-65J00-000,"KNUCKLE,STEERING,R",Dikit,Rendah,Mahal,Critical,laris
693.0,45151-65J00-000,"KNUCKLE,STEERING,L",Dikit,Rendah,Mahal,Critical,laris
694.0,51300-65J00-000,"BOOSTER ASSY,BRAKE MASTER",Dikit,Rendah,Mahal,Critical,laris
695.0,55191-65J00-000,MAIN SLIDE PIN,Sedang,Tinggi,Murah,Critical,laris
748.0,12340-85FC0-0A0,SLIDE PIN SET,Sedang,Tinggi,Murah,Critical,laris
886.0,11720-80JB0-000,"BOOT,PIN",Sedang,Rendah,Murah,Critical,laris
828.0,09262-28041-000,"BOLT,PIN",Banyak,Tinggi,Murah,Critical,laris
699.0,55234-50J00-000,"LINER-A,PAD",Sedang,Rendah,Murah,Slow,laris
700.0,55235-50J00-000,"LINER-B,PAD",Sedang,Rendah,Murah,Slow,laris
701.0,57610-65J10-000,"PANEL,FRONT FENDER,R (WITH TURN SIGNAL)",Dikit,Rendah,Mahal,Slow,tidak laris
702.0,73610-54J01-C48,"LOUVER CENTER VENT,R",Sedang,Tinggi,Murah,Slow,laris
703.0,09283-44015-000,"SEAL,OIL,44X60X9.5",Banyak,Tinggi,Murah,Fast,laris
704.0,11100-65J01-000,"HEAD ASSY,CYLINDER",Dikit,Rendah,Mahal,Critical,laris
1.0,36840-76K01-000,"GASKET,CYLINDER HEAD COVER",Sedang,Tinggi,Murah,Critical,laris
706.0,11192-65J00-000,"HOSE,PCV",Banyak,Tinggi,Murah,Fast,laris
707.0,83719-65J00-000,"WEATHERSTRIP,FR DR INNER,R",Sedang,Tinggi,Mahal,Slow,laris
708.0,83729-65J00-000,"WEATHERSTRIP,FR DR INNER,L",Banyak,Tinggi,Mahal,Slow,tidak laris
709.0,83739-65J00-000,"WEATHERSTRIP,RR DR INNER,R",Sedang,Tinggi,Murah,Slow,laris
710.0,83749-65J00-000,"WEATHERSTRIP,RR DR INNER,L",Sedang,Rendah,Murah,Slow,laris
711.0,83811-65J00-000,"WEATHERSTRIP,FR DR OUT,R",Banyak,Rendah,Murah,Slow,tidak laris
712.0,83821-65J00-000,"WEATHERSTRIP,FR DR OUT,L",Dikit,Rendah,Murah,Slow,laris
713.0,83831-65J00-000,"WEATHERSTRIP,RR DR OUT,R",Sedang,Rendah,Murah,Slow,laris
714.0,83841-65J00-000,"WEATHERSTRIP,RR DR OUT,L",Dikit,Rendah,Murah,Slow,laris
715.0,83900-76820-000,"KEY ASSY,SPARE TIRE NUT LOCK",Sedang,Rendah,Mahal,Slow,tidak laris
716.0,84645-65J00-000,"WEATHERSTRIP,RR DR CTR PLR,R",Sedang,Rendah,Murah,Slow,laris
717.0,84651-65J00-000,"WEATHERSTRIP,FR DR OPNG,L",Dikit,Rendah,Mahal,Slow,tidak laris
718.0,84661-65J00-000,"WEATHERSTRIP,RR DR OPNG,R",Sedang,Rendah,Mahal,Slow,tidak laris
719.0,84671-65J00-000,"WEATHERSTRIP,RR DR OPNG,L",Dikit,Rendah,Mahal,Slow,tidak laris
720.0,84681-65J00-000,"WEATHERSTRIP,BACK DR OPNG",Sedang,Rendah,Mahal,Slow,tidak laris
721.0,77641-65J00-5PK,"MOLDING,ROOF DRIP FRT,,L (BLACK)",Sedang,Rendah,Murah,Slow,laris
722.0,77641-65J11-5PK,"MOLDING,ROOF DRIP FRT,L (BLACK)",Dikit,Rendah,Murah,Slow,laris
723.0,78219-65J10-5PK,"CAP,ROOF RAIL",Sedang,Rendah,Murah,Slow,laris
724.0,82510-65J50-000,"LATCH ASSY,BACK DOOR",Dikit,Tinggi,Mahal,Critical,laris
725.0,69310-65J00-000,"HINGE, FR DOOR 1",Banyak,Rendah,Murah,Slow,tidak laris
726.0,71711-65J61-799,BUMPER FRONT,Dikit,Rendah,Mahal,Slow,tidak laris
727.0,71830-65J00-000,"HOLDER COMP, RR BUMPER NO.1",Sedang,Rendah,Murah,Slow,laris
728.0,72481-65J00-000,"LINING, FR FENDER, R",Sedang,Rendah,Mahal,Slow,tidak laris
729.0,72482-65J00-000,"LINING FENDER, L",Dikit,Rendah,Mahal,Slow,tidak laris
613.0,12340-85FC0-0C0,"PAD, FR FENDER RR",Sedang,Tinggi,Murah,Critical,laris
731.0,75521-65J00-000,"LINING,RR WHEEL HSG,R",Dikit,Rendah,Mahal,Slow,tidak laris
732.0,77541-65J00-5PK,"MOLDING,ROOF DRIP FRT,R (BLACK)",Banyak,Rendah,Murah,Slow,tidak laris
